상품명,가격,배송비,url
애플 Apple 아이폰 16e 128GB 미개봉 새제품,"440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=X2TGtGQRkTjHhCOGyVVv8%2F%2F%2F%2Fw%3D%3DsxqgT3YLBKNR8P%2F%2FQh%2BZDKSxZcvrUPzk97ASbS4kXSCByoYErd7Wx1dfdVO6hh7qVcmnYYYpMArl3fmhgTf1wIMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiByaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF36a1IbrOU94c1aiygYUf%2Bv0CJDJlVzUv6Hh7a9pJH55RKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyCUPDABcN7Hkf6023Z%2FxuMfOY3Zl59jNNefyRb5L%2F1wGK98KaIZa4VBE0V5wqYGSTlL5lit6B2eXe%2BNXAwrOVCqQoF9qinDJPXbCsr3rbDZdVDcn730RNf8y0MSNUKFNzqhc%2Be64dvjtVLOvhQQ6Y9r0taFrpSGtjFfEW%2BzQ0%2BmZuziNvHcy03kZmVEMBpOj5hdv8f76rKXjJH00CpvGhZ5pkcX8KK7Cg7nHRc6cNRH1y8PMWokf6nkXYpCYb0D4R6KbwnF1n%2BEzsxVb105c9hjY908EPgePLwZoA3PeJ4GoMlNtytYVzB30AfLZyaHUpWtY0vFGtYcImi51jMcKK8ZAmmETy2KpaguBC8RJwiSThFtib8%2FhBYY63Uybk0oFl0%2BPiwE0%2FxEwLe7ZRH7YTlnLVWGr8fvvH1mWvUgXPK6j&nvMid=89877627274&catId=50001519
[대여] 애플 17 프로 아이폰 대여 렌탈 합정 잠실 서울역,"29,600원",배송비무료,https://cr.shopping.naver.com/adcr?x=dPDAYZlf2Mr%2Bf2W5ltp%2B7%2F%2F%2F%2Fw%3D%3DsF9G0OKJBpK1ea1PNPLo9DGU6JGRad8ekE6qQ%2Bbe49NNyoYErd7Wx1dfdVO6hh7qVXbO7KyXJ5lajCrFxqpg%2BZ8KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiByaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF0oyQ0fzbU1Rctud7qIKtJ%2B0CJDJlVzUv6Hh7a9pJH55RKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyJF9T7qTef%2BaPvfJ%2BzHHS7Xhp8SuyRZwJWlcFmMJwEOPAeuQKgRq6z4fGpaOnMSDdlL5lit6B2eXe%2BNXAwrOVCqQoF9qinDJPXbCsr3rbDZdVDcn730RNf8y0MSNUKFNzqhc%2Be64dvjtVLOvhQQ6Y9pmeKJo1gEe0PkpGaFUwOJv86E1M6MRY8y4mfb59r5haVB5dRjo0cSMbnBIRXLMvEP6Q0WigcsxHXGdJUo5YCkpBJetKCm%2BSvf8%2FK371lxQdYtP2eKRruSkp8gBNXQhwyedTY4JLYzjsFC8%2Fcge5Wpzac7orcamYov3TzVQJKS1gzA%2BvOfH7PZQwfv%2Bwgqpzi2jrgWQ%2F0JBsjHud4pzo5y10HW9tqK1rR3cMA2ZG7gsyM5KWQ6JbBXC%2F7E8m%2BJB7X6RZbUe4GHemxV5MhR1oZfv5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=89926920107&catId=50000249
아이폰 17e 256GB [자급제],"최저990,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=LFJIOWveNmCqHWPRNpe5bP%2F%2F%2Fw%3D%3DsJI79sRbxZi7jvKQDeWbflgvFoWFdAL1nEJjVsXJuLCLxTAJR5s3V3RheLYZrm3hTB2Kbc8sYL9z4IupkvDeAw2g6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUEfgrM5HQzlTMQ9S1ZukRB54Qz6BmkUWnhlyhzEn3pxv5pu%2F3%2FpQ545OibOGRoXWV334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMu2J2cmJGDnOTQy7V0rAAlZY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpEbvXdPY6%2Bs7K1BRmZuM%2F2sIYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6UKVnWnX8ECvqCQLP1YSWeVC8IvS%2BNPsEPJ7D6mlNi%2F5xE2%2BaQKQZMQadDGOBAZIq3gWN6W2GagqosRobjYedgBGJfVGaCStGMucxBS5Jw3XDlLc067aV0j95VySDsDgc7ou62Hl0mxddHx6BWeRVhn7RKSPxUkPufsIWA4HVzAAulMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqKp%2FI5hvJgTsM5aBArZ3Fd3lE80KNwbfNxekQsGJejRk6yaap5oNIJV%2BkWhagbztvVLGHznQOI20dXS3B5o8%2F7xxZoSd0kVtOwQ4P2MFW0wQAYTYOqTv%2FsOm0kcFv3bjpIg9bInPqUA8rujiGhebxXYLuZ6CE7ANv3Quu9%2BiwrMJA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=59125506333&catId=50001519
아이폰 17 512GB [자급제],"최저1,526,400원",배송비무료,https://cr.shopping.naver.com/adcr?x=6Vp%2FSMFMj3mLE3SVt39SAf%2F%2F%2Fw%3D%3DskLvDQ%2FWz7gYI6MhEeckTn1iwgni%2FIk%2BHAPn3mDULHbJyoYErd7Wx1dfdVO6hh7qV1RFmX6FaFsNKHhADWWlZJcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiBhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9ASBNXkEhetsnaK17idpx5DIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VGhrlJb2QGQvUWr8W3ojpnmMWit%2FicZSA%2FCK%2Fne362WaoBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9F1x26UXtaZGAkhADrS3V5LNoujdiiNe5Aky91pn4j%2FKFvIJJK89HyB%2F1VSF9qpB8z06a5i2ttOqXZD2Ym%2FtufzQW2tmil%2BKwFmbgnP0tlTbSHZ2jovQrbtm%2FvnR95HArkVEzBTCDFwT1FHHcnBo2PS9D7lwj2%2FzVh8CYLmBaMZfqbWD5xIhUwkKgfHEEIBUoQ5NpxzD%2BGh1Qsf3DjaBN7oU5XRhGDzc2V9V0fZcpDkAPVL%2B%2Frl5PLPXtI0kaP8Pk8R6ekwGaJgX41%2FFlLCd0wCkg%2F0cJCFrAMUpljPRVgfp9b0bOIG9fMTNrkvqUsIXswtIYh35n85gCNF9XAudNisjESmNN%2BryielGV9zcCGt4aBxPh9QUvmWm%2FTB9LiQm6gxueeJCXzxPklKfbVJtZEwau4fTwOUqyF63FjwpQRls%3D&nvMid=56642218976&catId=50001519
Apple 정품 아이폰 16 자급제,"1,150,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=87BgF6C30xnZ74fBlgjqEP%2F%2F%2Fw%3D%3DsLuFb0ZbcGOH2LkqP%2B3osha%2F0mNbf0XKCLgAWI6KrrmQAjU5j3gjlMYsRq8%2BGHFpSFfLwHTxElHAdobo055%2BYqTXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcViUIblkks2eyOgX%2BoRrcWw9o3nY7XhpnrMTEPxBahsZVWdw2WpgtT4qzFy1Pl2l9a6InUdgRJ2eKXcsL2jyhcXKQfvg83DEGAmQ8NhqAZnU8d9dfElyzXk1IsciI97rJHgRKVZTuXeL79TLcm5zFBVaE8Kem0%2Bam0UPHOm9Xpu7sOljbnGs7yF9OoQvI9nxNW4bdLg2nJ5QgeCRsD9BisUHfwB3wwVGFUxJMR2yrGXr0%2FSl3%2FNu%2FbtyVEUM6QMMwucKdG1d8AriSZiudWKd4HnbYdCrHaJkh6suWVlyCR2qvffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeFYqpcrr08AtXTOhSCQmUchcO6S4PZdXToRsjwt89fVmV36ogsAbT2GMBHUreotiQP%2BfGAYyVpvt2JXakUOpmHebcwpxhpAapWUQ4SRNDjyseINYn6xK6EuDDjneb82%2B2TDEvmeIwMU6cTVQuKWzfvqj3rsTluf%2FEe%2BXgR0fTTLKfKlW%2FiZ%2BqdlhmjIR4RPYxdd3Axm%2F6yNo6r9oiUqfo%2FYJVVfWYT3u588F102NmF5elZPdJJmXmRTro%2FenJXNXRgvqet95udyQkKqCpL%2FVSchicFMf5TkwICIE0CpKmDwxviXvUS9cqywM6O6yyWR%2BjxohtPjA9PZFWriSd2EhWtTNIXoZybopmR%2BoOjELBWY%2FoxOAkuxMuKmX1bKzjWglw4VsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=55291676020&catId=50001519
아이폰 17 프로 256GB [자급제],"최저1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=EF4u%2FV0nmZO4Xo3nSpmg9P%2F%2F%2Fw%3D%3DsGJgRG3IljF5bddaqXy1aS7NhvPi7JvAJtT6M3Fwbfr4AjU5j3gjlMYsRq8%2BGHFpSufXIlshQ0S45dFyRCRFy%2BTXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcViUIblkks2eyOgX%2BoRrcWw9o3nY7XhpnrMTEPxBahsZVWdw2WpgtT4qzFy1Pl2l9a2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlHSiXb6zz2L%2B5jNO4HxHYW2KE8%2FrcQcPlkXN90E4qVcd%2BE8YCiibN06F7pXXqOPTLBlFSvfY9mHTTrovFDG%2Bp%2FXRH8LVyOQVBdQNjxrlrBDgcOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqv0r6SXrTpEwX5CY%2BVI8It3V7rj7GrYGFPYndo03%2FAH0bV9SohnsJOp40F4RSK4iN%2FJCZtCAZHIwVKa19eQGY189xC4SeUfR7YkyR9N%2FlyMHPGbKfX3ZgUYyLdP8Xe2N1dsEgYPduj3ZjSVhcplQkngiHsNNp7Q1cshESxnJo1mgXYI65Bhxq4ERe3dnXCXU0RYgXT8U0rr2Dm%2BuxQGAQBtbpzYuDhc5s8On9PGjlJhew4v%2BEtgwqbmK%2B1W1dXZpTQ%2F5BTDuLO7E8eLG3O1110I%2BzSw%2BlNigXKl0Gq%2ByrobPrH9Lk08zRmoXO07ToB5%2F%2F7xW%2BA2ss8asrwshMUoslIIgN%2F1NgM4LgvOAJ6Euy6vnDg4cEzdpU9Q2zVWloYgSqplfibMyaz%2Bs3%2BAuft2LWL%2BR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=56666065238&catId=50001519
SK 기기변경 애플 아이폰17프로 512G / iphone17 Pro,"1,440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=vvCC7nlAfUMPUBg7r%2FaBQ%2F%2F%2F%2Fw%3D%3Dshuw7ve%2FGN2Z8nIVkRX4WWEfY0XC2cZ9G%2Bcz5Mgvs3o1yoYErd7Wx1dfdVO6hh7qV0iwmJZu4uNVqmlFKyRBzHMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiBnjp5egJ%2FdmpWO%2FbVCogrpCPZFCrVfvXQyv8Eoifgms6zF3EpH6NDxesoBig9Te3b04i26G%2Bw0IWxQBzGOuR3r%2F0tsp0lxXg%2FKuWW9yrR39xOW9%2BXXbaBKScwI3Wl%2BGGOy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExgAKFLa1iaypOT0mC7dHHLgoxYkLSMH%2BCrvCJ0RMeWqseWnVVTnd%2BrGUpMFP67rAoIldBX4SRX%2FG82zaQjn2KCCqG%2Fu1DhmJrw1pYa%2FF3xEapgcXoVQUNclaMW5fcbWO5WeV%2FQxiLBh9XV1q7wp7Mtq3quYV6NOAVlW9dWsrDryHTc1nub7%2BuUokMoTrrmB1U81vUWK9kVaIHAIy1dz7UG3cdNbQrQbwkq64LKLdtSOXFoCVzibSDWI%2FqPRhI9f0PzgOaA4uHnfMtuOaARHNAOfDdddPwRCEIeD0BYZi4mEioZ7fOSlpPqDnetVbhA42LXJQeI8ofc5WMKxsyJlq4UJdH0g2z1mnGI56RXn%2BRsxcT%2BUwoziCl8I12korlrctOKsjmTTRswSIKXsnlvMExpGVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=57170283301&catId=50000246
아이폰 17 256GB [자급제],"최저1,237,980원",배송비무료,https://cr.shopping.naver.com/adcr?x=dOT7A2Jp%2B7mHCPWwyvhYtP%2F%2F%2Fw%3D%3DsVD3LuO4ZLg3QoRCZiUr5YcKZY2ovcKAeShVHZzp9hUDxTAJR5s3V3RheLYZrm3hT60oLrTlefNT4CEJLFPXEpWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUEfgrM5HQzlTMQ9S1ZukRB54Qz6BmkUWnhlyhzEn3pxv5pu%2F3%2FpQ545OibOGRoXWV334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMvRuRHHLmm%2Fl%2BzEuRHn3ypUY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpEbvXdPY6%2Bs7K1BRmZuM%2F2sIYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6xnnCa43uZjegM4%2BwpvTNRVC8IvS%2BNPsEPJ7D6mlNi%2F5xE2%2BaQKQZMQadDGOBAZIq3gWN6W2GagqosRobjYedgBGJfVGaCStGMucxBS5Jw3XDlLc067aV0j95VySDsDgc7ou62Hl0mxddHx6BWeRVhmisGWP6wkczdCrUEQC4dSIulMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqJtmP60YFmisn8LVXZD4mRvPU6pntGCurhu%2FV8uonTYhwwCHgXAQ9y7pvleboU%2BqcE2l3TJi67OLvsEJWiys3bkb21NClOMU%2FFxET1gh873iAYTYOqTv%2FsOm0kcFv3bjpE4R84F%2F9JI5Mmk6IxO5EhOPIUqeGtVE7uPoZIi0tkC2A35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=56666632837&catId=50001519
Apple 아이폰 17 프로 자급제 256GB - 실버 MG8G4KH/A,"1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=38JfN6Wqu0CVpzTCKyI3E%2F%2F%2F%2Fw%3D%3DsqX1aE3k1d7YknX8n0jVi2vYssghxmkR%2FC9eRdwePX6zxTAJR5s3V3RheLYZrm3hTfNpX1JQzJJIpZ6pHsss9%2BWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUEfgrM5HQzlTMQ9S1ZukRB54Qz6BmkUWnhlyhzEn3pxv5pu%2F3%2FpQ545OibOGRoXWVBDw0zYT%2FnWd2yKLaUr1Y4NLMQMt8f0Ay6B1Y837Q2U6bnneF058QyrhLoGCxfvaeUgIDtJAN1epsfptbnpBnf9qQLL1IRFqsZtkQQKNqF%2F%2Fm4Jf9cLVbdNjv7CN8scrtB4rM5DgU3JK8hqiSKDYCfexzozMwdCIc7T9i36di%2FqhhcbwwL0wCrBOn%2Fh%2Fvi4WfFozX3aipM733nmXhbZGVSgSsuJVqkvCUm54YYnYiEnOKx7G3krbJiQXzryuwwOqJ4Nxgn20Uyv%2FYuX2kL3QJmSQdpUHaGiQ7GEthdZM6ojFXfqiCwBtPYYwEdSt6i2JA%2F58YBjJWm%2B3YldqRQ6mYd5tzCnGGkBqlZRDhJE0OPKx4g1ifrEroS4MOOd5vzb7ZMMS%2BZ4jAxTpxNVC4pbN%2B%2BqPeuxOW5%2F8R75eBHR9NMsqMG%2BIsAZyxio%2BhwJGf8gDY13cDGb%2FrI2jqv2iJSp%2Bj9lYlfUjxXq6HYHRbqSzIR3sxP26t9o%2BFmx4GWx6z9Akg6%2F3SZMl%2FSm0O3WlkUfhrJXxVQZKhQCRLlQIr81Ij6XqxhzO0uTdq8LVMy8MFa0jTq9S%2FM8VvYi54xXPYUVQAXMKR3YKlD9qGAl6gX9HvZO6VLcp7iZLlea11dFEz3E7XWAQX%2FTfq%2FEd%2FCX0ER%2FyXCFdznR4EhPC6BI08fc6TT2xWkbDrUFJ2hBG8QaB8WVzn&nvMid=59278488268&catId=50001519
Apple 아이폰17프로맥스 512GB Apple 미개봉 새상품,"1,160,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=f0gRB6L6cXKejQyVSNUkTf%2F%2F%2Fw%3D%3Dswe5zePVFoM9yYK%2BJ8wrQ77S8eic9ODrjp6F1YDPUs9VyoYErd7Wx1dfdVO6hh7qV%2FU2B1hsXyQWv5OZLwtn9xcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiByaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2EaqFhIsapuPwUapBxsGLM0CJDJlVzUv6Hh7a9pJH55RKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyJicMlHCc3mggZKfZj1vwaC5Wh7CYBk4EBfN%2FeMeApqlK98KaIZa4VBE0V5wqYGSTlL5lit6B2eXe%2BNXAwrOVCqQoF9qinDJPXbCsr3rbDZdVDcn730RNf8y0MSNUKFNzqhc%2Be64dvjtVLOvhQQ6Y9pmjFU81aDND7%2FJQAaUf4bjj6C1NeLYdceqwaAeSjwZJCFcc45kyknzRfkxFP2%2FNta3gQs%2FKuWI5B2UByh4gBib45vxUp2ew%2B9GxrgxTQRHrFmtLq7ZOhs9YwDz5qtKg7kdoQdD7z4VTZnGHOZl9gKWcSAfabTb1d54%2B0E8aUqdUg44ciaNscacOF5D4u1epZkNPeSzeY80QFuMytGtHBQpWDKaL7YnSaPnJFNVbWx1GgFPypAmy9uBE43A0JpFpxDjQ8T%2FmBAW2E9tbp%2Fo2mPvHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=90912314913&catId=50001519
