title,contents
"""성과급 더 달라""…삼성전자 노조 4만명 모였다","삼성전자 초기업노조 평택 집결…성과급 투쟁 결의본집회 앞서 4만명 가까이  집결오전부터 인근 직장인들 갑론을박[평택=이데일리 박원주 기자] 삼성전자 초기업노조가 23일 오후 성과급 상한 폐지 등을 골자로 한 투쟁결의에 돌입했다. 참여 규모는 4만명 수준이다.23일 오후 1시쯤 삼성전자 평택캠퍼스에서 삼성전자 초기업노조가 성과급 상한 폐지 등을 골자로 한 대규모 집회 참석을 위해 결집했다.(사진=박원주 기자)노조는 이날 오후 2시부터 경기 삼성전자 평택캠퍼스에서 진행되는 본집회에 앞서 오후 1시부터 결의대회를 진행했다. 결의대회엔 경찰 추산 3만여명, 노조 추산 3만9000여명이 참석했다. 이들은 회사 영업이익의 15%를 성과급 재원으로 활용하고 성과급 상한제를 철폐해야 한다고 주장했다.집회가 진행된 오후가 되기 전부터 현장 인근에선 긴장감이 맴돌았다. 오전 8시 55분께 방문한 삼성전자 평택캠퍼스 인근 사거리는 교통 통제에 나선 경찰들과 검정색 조끼 등을 착용한 집회 참석자들로 인산인해를 이뤘다. 삼성전자 노조원 이외 인근 직장인들은 횡단보도를 건너며 이번 집회와 관련해 “회사로선 연구개발비도 집행해야 하는 복잡한 상황” 등 발언을 나누며 성과급 논란에 관심을 보였다.23일 오전 9시쯤 삼성전자 평택캠퍼스에서 초기업노조 구성원들이 이날 오후에 개최되는 성과급 상한 폐지 등을 골자로 하는 집회를 준비하고 있는 모습.(사진=박원주 기자)이후 오전 9시께 방문한 평택캠퍼스 입구 쪽에서는 집회 참여인원들을 대상으로 생수와 검정색 조끼, 마스크 등 필요 물품을 나눠주는 행렬이 이어졌다. 이같은 행렬은 갈수록 이어져 정오가 넘은 시점엔 입구가 막혔다고 보일 정도였다.이번 집회 이후에도 노조측의 요구에 대해 사측이 합의를 이루지지 않을 경우, 노조 측은 내달 21일부터 6월 7일까지 총파업에 돌입한다는 방침이다. 노조 가입자는 현재 7만4000여명 수준이며, 이로써 초기업노조는 삼성전자의 첫 과반노조가 됐다. 지난 15일 고용노동부의 확인 절차를 거쳐 법적 근로자 대표 지위를 확보했다.23일 오후 12시 30분쯤 삼성전자 평택캠퍼스의 입구가 인산인해를 이루고 있는 모습이다.(사진=박원주 기자)"
"삼성전자 노조 투쟁 결의대회, 구호 외치는 조합원들","    (평택=연합뉴스) 홍기원 기자 = 23일 경기 평택시 삼성전자 평택캠퍼스 앞에서 열린 삼성전자 노동조합 공동투쟁본부의 '투명하게 바꾸고, 상한폐지 실현하자-4/23 투쟁 결의대회'에서 조합원들이 구호를 외치고 있다. 2026.4.23 xanadu@yna.co.kr"
"""돈 벌었다, 일단 챙겨"" 차익실현 우르르...코스피 신고가 찍고 등락","이란 군인들이 호르무즈 해협 통과 컨테이너선을 나포하는 장면으로 알려진 영상 캡처. /사진=엑스(옛 트위터) 캡처23일 코스피지수가 사상 최고가를 기록한 이후 등락을 거듭하고 있다. 신고가 부근에서 차익 실현 의지가 높아진 가운데 중동 지정학적 긴장이 겹친 결과로 보인다. 오후 2시6분 현재 코스피지수는 전일 대비 0.32% 상승한 6438.17에 거래됐다. 개인이 8620억원 순매수한 반면 외국인과 기관은 각각 3395억원, 4636억원 순매도했다.장중 고가는 6557.76(+2.18%)으로 사상 최고치를 경신했지만 한때 6309.10(-1.70%)까지 밀리며 변동성을 보였다.코스피지수는 이날까지 사흘 연속 신고가를 경신했다. 국내 반도체 대장주인 삼성전자와 SK하이닉스가 나란히 역대 최고 분기 실적을 발표한 것이 지수에 힘을 실어줬다.  그러나 시장에선 유가 급등 등 지정학적 위험에 따른 불안감도 존재한다.  특히  22일(현지시간) 이란 국영방송이 이란 군인들의 호르무즈 해협 통과 컨테이너선 나포 장면을 공개한 것을 계기로 호르무즈 해협 선박 봉쇄 이슈가 재부각되고 있다. 복면에 소총을 든 이란군이 화물선에 올라오는 영상이었다. 일각에선 일본 닛케이225지수, 대만 가권지수 등이 하락세를 보이고 있는 배경이라고 관측했다. 삼성전자(+2.41%), 삼성전자우(+3.50%), 두산에너빌리티(+4.66%), HD현대중공업(+1.56%), SK스퀘어(+0.42%) 등이 상승세다.사상 최대 분기 실적을 발표한 SK하이닉스(-0.82%)는 하락 반전했다.코스닥지수는 0.81% 내린 1171.50을 나타냈다. 개인이 3703억원 순매수한 반면 외국인과 기관은 각각 1861억원, 1628억원 순매도했다. 장중 1189.49(+0.71%)까지 상승했지만 1152.34(-2.44%)까지 밀렸다."
"[티타임] 코스피, 6450선 등락…개인 8200억원대 매수에 지수 방어","SK하이닉스, 장 초반 52주 최고가 쓴 뒤 약보합…원/달러 환율 1481.10원[편집자주] 동행미디어 시대 증권 전문 기자들이 날마다 쏟아지는 이슈를 깔끔하게 정리해 드립니다. 오후도 [티타임]과 함께 성공 투자하세요.23일 코스피가 장 초반 6550선까지 올랐지만 이내 약세로 전환됐다. 사진은 장 초반 6550선까지 오른 코스피 지수가 표시되는 서울 중구 하나은행 딜링룸 전광판. /사진=뉴스1 23일 오후 코스피가 롤러코스터를 타며 강보합한다. 장 초반 6550선까지 상승했었지만 하락하며 6300선까지 밀린 뒤 다시 상승세다.이날 한국거래소에 따르면 코스피는 오후 2시10분 기준 전 거래일 대비 40.10포인트(0.63%) 상승한 6458.03에 거래된다. 코스닥은 8.27포인트(0.70%) 내려 1172.85를 기록 중이다.코스피는 장 초반 급등하며 6500선을 돌파했다. 사흘 연속으로 사상 최고치를 쓰며 6557.76을 찍었다. 하지만 이내 외국인과 기관의 매도세를 이기지 못하고 하락했다. 다만 오후 들어 개인의 매수세가 확대되며 다시 지수를 6450선까지 끌어올렸다.이날 개인은 8247억원을 사들이는 중이다. 반면 외국인은 3287억원을 기관은 4372억원을 순매도한다. 코스피 시가총액 상위 10개 종목은 희비가 엇갈린다. 장 초반 22만9500원까지 올라 52주 최고가를 찍었던 삼성전자는 상승 폭을 줄여 2.99% 오른 22만4000원에 거래된다. 삼성전자우는3.83%, SK스퀘어는 0.83%, 두산에너빌리티는 5.09%, HD현대중공업은 1.64% 상승세다.이날 호실적을 발표한 SK하이닉스는 장 초반 52주 최고가를 기록했지만 차익 실현 물량이 겹치며 0.33% 하락한 121만9000원에 거래 중이다.  LG에너지솔루션은 3.72%, 현대차 0.55%, 한화에어로스페이스 0.07%, 삼성바이오로직스 2.69% 하락세다.코스닥은 전 거래일 대비 8.27포인트(0.70%) 내려 1172.85를 기록 중이다. 외국인과 기관의 매도 물량을 개인이 받아내지만 하락세를 면치 못하고 있다.이날 개인은 3638억원을 순매수한다. 반면 외국인은 1801억원을 기관은 1619억원을 순매도 중이다. 코스닥 시가총액 상위 10개 종목은 보합세다.에코프로는 3.69%, 에코프로비엠은 5.73%, 삼천당제약은 5.71%, HLB는 1.82% 하락세다.반면 알테오젠은 보합하며 레인보우로보틱스는 0.34%, 리노공업은 1.58%, 에이비엘바이오는 2.06%, 코오롱티슈진은 1.41%, 리가켐바이오는 6.74% 상승 중이다.서울 외환시장에서 원/달러 환율은 전 거래일 주간 종가 대비 5.10원 오른 1481.10원에 거래 중이다."
"딥서치, 타법인 출자 전수 분석…상장사 출자 구조 4년 새 달라졌다","삼성전자, 인기 종목 4년간 1위 유지해외주식 투자 확대…미국 비중 77%[이데일리TV 이지은 기자] 기업 데이터 플랫폼 딥서치의 리서치팀은 국내 상장사 사업보고서에 공시된 2022~2025년 타법인 출자현황을 전수 분석한 결과, 상장사 간 투자 네트워크와 자본 흐름이 4년 연속 확대되고 있다고 밝혔다.분석에 따르면 타법인 출자현황 공시회사 수는 2022년 2041개에서 2025년 2257개로 증가했다. 같은 기간 출자 건수도 2만6490건에서 3만2060건으로 늘었다. 장부금액 기준 전체 출자 규모는 2022년 896조6000억원에서 2023년 932조5000억원, 2024년 997조4000억원을 거쳐 2025년 1128조8000억원까지 확대됐다. 이 가운데 피투자회사가 상장사인 장부금액은 369조8000억원으로 집계돼 전체의 32.76%를 차지했다. 상장사 간 연결 관계가 더 많은 기업과 투자 관계로 확장되고 있음을 보여주는 대목이다.여러 상장사가 동시에 보유한 인기 종목 분석에서는 삼성전자가 4년 연속 1위를 유지했다. 2025년 기준 47개 상장사가 삼성전자 지분을 보유했으며, KG모빌리티, SK하이닉스, NAVER, KT 등이 뒤를 이었다. 특히 금액 기준에서도 삼성전자 투자 규모가 약 107조원에 달해 계열사 중심 출자 구조가 뚜렷하게 나타났다.투자 주체별로는 포트폴리오를 폭넓게 분산한 기업들이 상위권을 형성했다. 현대해상, 국보디자인, 미창석유공업, 한국자산신탁, 한국석유공업 등이 피투자 상장사 수 상위 기업으로 나타났다. 보험·자산운용 성격의 금융 계열과 산업·지주 계열 투자가 혼합된 구조가 특징으로 분석됐다.해외주식 투자 역시 빠르게 확대됐다. 해외 출자 건수는 2022년 267건에서 2025년 355건으로 증가했고, 투자 상장사 수도 119개에서 155개로 늘었다. 지역별로는 미국 비중이 77%를 차지했다. AI 산업 확산 영향으로 엔비디아, 애플, 브로드컴, 테슬라 등 AI 인프라 기업이 주요 투자 대상으로 부상했다.섹터별 흐름에서는 금융과 산업재 자금이 정보기술(IT) 기업으로 집중되는 교차 투자 구조가 확인됐다. 금융→IT 투자 규모는 2022년 33조9000억원에서 2025년 72조원으로 두 배 이상 확대됐고, 산업재→IT 투자 역시 꾸준히 증가했다.딥서치 관계자는 “이번 분석이 사업보고서에 흩어져 있던 출자 데이터를 통합해 한국 자본시장의 구조 변화를 가시화한 사례”라며 “상장사 간 출자가 지배구조 유지와 재무투자라는 두 축에서 동시에 확대되고 있다. 향후 투자자와 정책 당국이 동일한 공시 데이터를 기반으로 자본 흐름을 분석할 수 있는 데이터 인프라의 중요성이 더욱 커질 것”이라고 말했다."
"삼성SDS, 일회성 비용에 1분기 영업익 70% '뚝'","영업익 783억, 매출 3.3조 기록AI 10조 투자로 미래 먹거리 확보이준희 삼성SDS 대표이사(사장). 삼성SDS 제공삼성SDS의 1분기 영업이익이 일회성 비용 증가로 전년 대비 70% 이상 급락했다. 회사는 클라우드 사업 성장과 공격적인 AI 투자 전략을 통해 2분기 실적 회복을 노리고 있다.23일 삼성SDS가 발표한 1분기 잠정실적에 따르면 회사의 영업이익은 783억 원으로 전년 동기 대비 70.8% 감소했다. 매출은 3조 3529억 원으로 3.9% 줄었고 순이익도 918억 원으로 57.8% 감소했다.영업이익 감소는 퇴직금 산정 기준 변경으로 퇴직급여 충당금 1120억 원을 한 번에 반영한 영향이 컸다. 이를 제외하면 실적은 양호한 수준이다.특히 IT서비스 부문의 변화가 주목된다. 클라우드 사업 매출이 6909억 원으로 5.8% 성장하며 기존 정보기술 아웃소싱(ITO) 사업을 제치고 최대 매출원이 됐다.공공 부문의 생성형 AI 도입 확대가 영향을 미쳤다. 삼성클라우드플랫폼 기반 클라우드서비스 사업은 GPU 서비스(GPUaaS) 수요 증가로 12% 성장했다. 클라우드 관리 서비스(MSP)도 금융·공공 업종 수주 확대에 힘입어 4% 늘었다.물류 사업은 부진했다. 매출이 1조 7424억 원으로 7.8% 감소했다. 신사업 첼로스퀘어가 30% 이상 성장했지만 물동량 감소와 운임 하락이 전체 실적을 끌어내렸다. 저조했던 해운 업황이 반영된 결과다.2분기 실적 회복 기대감은 남아 있다. 공공 부문의 GPUaaS 수요 증가세가 이어질 것으로 보이고 금융권의 AI 서비스 도입도 본격화할 것으로 예상된다.중장기적으로는 AI 전략이 핵심이다. 회사는 AI 인프라와 AI 서비스 AI 플랫폼을 아우르는 'AI 풀스택' 사업으로 전환을 추진한다.글로벌 투자기업 KKR과 협력해 확보한 신규 자금 1조 2000억 원과 기존 현금성 자산 6조 6000억 원을 기반으로 2031년까지 10조 원을 투자할 계획이다.투자액은 AI 인프라 5조 원 AX·AI 서비스 및 플랫폼 1조 원 전략적 M&A 4조 원으로 배분된다."
"삼성SDS, '국가AI컴퓨팅센터' 신설법인에 1200억 출자","특수목적법인 설립·유상증자 참여…총출자액 4000억원3월 우협 선정 뒤 후속 절차 본격화…2028년 구축 목표삼성SDS 사옥/뉴스1 DB(서울=뉴스1) 김민수 기자 = 삼성SDS가 국가 AI컴퓨팅 센터 구축 사업을 맡을 특수목적법인(SPC)에 1200억 원을 출자한다. 지난달 우선협상대상자 선정 이후 민·관 합작 법인 설립을 위한 후속 절차가 본격화하는 모습이다.삼성SDS는 23일 '국가 AI컴퓨팅 센터' 신설 예정 법인에 1200억 원을 출자하기로 했다고 공시했다. 출자는 오는 5월 4일부터 2027년 1월 31일까지 두 차례에 걸쳐 이뤄질 예정이다. 출자 상대방 총출자액은 4000억 원이다.공시에 따르면 이번 출자 목적은 국가 AI컴퓨팅 센터 구축을 위한 SPC 설립과 유상증자 참여다. 공시 상대방인 '국가 AI컴퓨팅 센터'는 아직 사명이 확정되지 않은 신설 예정 법인으로, 5월 중 설립된 뒤 계열 편입될 예정이라고 삼성SDS는 설명했다.앞서 과학기술정보통신부는 지난 3월 10일 국가 AI컴퓨팅 센터 구축 사업 우선협상대상자로 삼성SDS 컨소시엄을 선정했다. 당시 정부는 이 사업을 공공의 마중물 투자를 바탕으로 민간 자본과 역량을 결집하는 민·관 합작 SPC 방식으로 추진한다고 설명했다.삼성SDS 컨소시엄에는 네이버클라우드, 삼성물산, 카카오, 삼성전자, 클러쉬, KT, 전라남도, 서남해안기업도시개발 등이 참여하고 있다. 컨소시엄은 전남 해남 솔라시도 데이터센터 파크를 사업 입지로 제안했으며, 2028년까지 GPU 1만5000장 등 첨단 AI 인프라 구축을 목표로 하고 있다.이번 출자 공시는 우선협상대상자 선정 이후 SPC 설립과 자본 확충 절차가 실제 단계로 넘어갔다는 점에서 의미가 있다. 다만 삼성SDS는 공시에서 출자 일정과 세부 내용은 진행 상황에 따라 바뀔 수 있다고 덧붙였다.		"
"미래 HBM '혈투'…SK하이닉스, 주도권 계속 쥐고 갈까?","■ 용감한 토크쇼 '직설' - 손석우 앵커 경제평론가 (건국대 겸임교수), 김동섭 블루인베스트먼트 대표, 소현철 상지대 국가안보융합학과 외래교수, 백길현 유안타증권 연구원- 미래 HBM '혈투'…SK하이닉스, 주도권 계속 쥐고 갈까?- SK하이닉스, HBM 주도권 계속 쥐고 갈까?- 삼성전자, 7세대 HBM4E 5월 검증 나서- SK하이닉스, TSMC와 3나노 공정 도입 검토- HBM4E 파운드리 공정력, 시장 성패 가를 듯- SK, TSMC와 협력 강화…내년 본격 양산 맞불- SK하이닉스, TSMC와 HBM4E 협력- 삼성 '샘플 속도전' VS SK '3나노 승부수'(자세한 내용은 동영상을 시청하시기 바랍니다.)  당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn"
미국인들도 “‘삼전닉스’ 정말 사고싶어요” 하더니…2주 만에 무려 1조 몰린 美 ETF의 정체,"“왜 이제야 나왔냐”…삼전·하이닉스 집중 ETFHBM하면 ‘삼전닉스’인데, 직접 투자는 제한적그래서 미국 투자자들이 쓴 ‘꼼수 ETF’월가도 놀란 흡수력…“틈새시장 정확히 찔렀다”삼성전자, SK하이닉스. 연합뉴스“한국의 삼성전자·SK하이닉스, 한 번에 담는 ETF 없나?”미국에서도 그 질문에 딱 맞는 상품이 나오자 돈이 몰리는 속도가 심상치 않다.22일(현지시간) 시장조사업체 팩트셋에 따르면 미국 소형 자산운용사 라운드힐이 출시한 ‘라운드힐 메모리 ETF(DRAM)’가 상장 2주 만에 순자산 10억달러(약 1조5000억원)를 돌파했다. 한 달도 안 돼 1조원이 넘는 돈이 들어온 건 ETF 업계에서도 “이례적”이라는 반응이 나올 정도다. 상장 초기 25만달러에 불과하던 자산은 현재 12억달러(약 1조8000억원)까지 불어났다.이 ETF가 주목받는 이유는 간단하다. 한국 투자자들에게 익숙한 ‘삼전+하이닉스’ 조합을 미국 투자자들도 그대로 사고 싶어 했기 때문이다.라운드힐은 이 테마형 펀드를 출시하면서 “세계 최초로 선보인 메모리주 ETF”라고 소개했다.“왜 이제야 나왔냐”…삼전·하이닉스 집중 ETF이 상품은 메모리 반도체 기업에 집중 투자하는 테마형 ETF다. 연간 총보수는 0.65%, 편입 종목은 9~11개 수준이다.구성을 보면 더 직관적이다. SK하이닉스 약 26~27%, 삼성전자 약 23~25%로 두 종목만 합쳐도 비중이 절반을 넘는다. 사실상 미국판 ‘삼전닉스 ETF’인 셈이다.이어 비중 3위는 마이크론(약 20%대)이 차지하고 있다. 여기에 키옥시아, 샌디스크, 웨스턴디지털, 씨게이트 등 저장장치 기업까지 더해 ‘메모리 생태계’ 전체에 베팅하는 구조다.HBM하면 ‘삼전닉스’인데, 직접 투자는 제한적지난해 9월 이재명 대통령이 방문한 미국 뉴욕 증권거래소(NYSE) 스크린에 태극기가 띄워져 있다. 연합뉴스이 ETF가 주목받는 배경에는 인공지능(AI) 산업 구조 변화가 자리하고 있다. 시장에서는 그동안 엔비디아와 같은 GPU 기업이 AI 수혜의 중심으로 인식돼 왔지만, 실제로는 메모리 반도체가 데이터 처리 성능을 좌우하는 핵심 요소로 부상하고 있다는 분석이 나온다.특히 고대역폭메모리(HBM)는 AI 데이터센터에서 GPU에 데이터를 공급하는 필수 부품으로, 수요가 빠르게 증가하고 있다. 이에 따라 메모리 반도체 기업들은 최근 1년간 주요 AI 관련 종목 대비 높은 주가 상승률을 기록하며 시장의 재평가를 받고 있다.다만 투자 접근성 측면에서는 제약이 있었다. 미국 증시에 상장된 마이크론을 제외하면, HBM 핵심 생산업체인 삼성전자와 SK하이닉스는 한국 증시에만 상장돼 있어 SOXX, SMH 등 주요 미국 반도체 ETF에 포함되지 않았다. 이로 인해 글로벌 투자자들이 메모리 반도체에 직접 투자할 수 있는 수단이 제한적이었다는 점이 시장에서 꾸준히 지적돼 왔다.그래서 미국 투자자들이 쓴 ‘꼼수’그동안 미국 투자자들은 메모리 반도체에 직접 투자하기 어려운 구조 속에서 일종의 ‘우회 전략’을 활용해왔다. 대표적인 방법이 바로 한국 증시에 투자하는 ‘아이셰어즈 MSCI 한국 ETF(EWY)’를 매수하는 것이다. 이 ETF는 삼성전자와 SK하이닉스 비중이 40% 이상을 차지하고 있어, 사실상 메모리 반도체 투자 대체 수단처럼 활용돼 왔다.실제로 이러한 흐름은 자금 유입에서도 그대로 드러난다. EWY에는 올해 들어서만 62억달러가 유입됐고, 최근 1년 기준으로는 87억달러에 달하는 자금이 몰렸다. 글로벌 투자자들이 한국 시장 자체보다 ‘삼성전자와 SK하이닉스’에 투자하기 위해 해당 ETF를 선택한 것으로 해석되는 대목이다.라운드힐은 바로 이 지점을 파고들었다. 한국 ETF를 통해 간접적으로 투자하던 수요를 ‘메모리 반도체만 따로 담은 ETF’로 직접 흡수하겠다는 전략을 세운 것이다.월가도 놀란 흡수력…“틈새시장 정확히 찔렀다”미국 뉴욕증권거래소(NYSE) 입회장에서 한 트레이더가 놀란 표정으로 시세판을 바라보고 있다. 신화연합뉴스이 같은 자금 유입 속도에 대해 월가에서도 이례적이라는 평가가 이어지고 있다. 별다른 대형 마케팅 없이 출시된 소형 운용사의 테마형 ETF에 단기간 수십억 달러가 몰린 사례가 흔치 않기 때문이다.ETF 정보업체 ETF.com은 “틈새 상품으로서 놀라운 질주를 보여줬다”며 “올해 중소형 운용사에서 출시된 가장 스마트한 상품 중 하나”라고 평가했다. 이어 “메모리 주식은 AI 붐의 핵심 수혜주였지만, HBM 3대 생산업체 중 삼성전자와 SK하이닉스가 미국 주요 반도체 ETF에 포함되지 않아 투자자들이 이를 직접 공략할 방법이 없었다”며 “DRAM ETF가 그 공백을 정확히 메웠다”고 분석했다.에릭 발추나스 블룸버그 인텔리전스의 분석가도 X(옛 트위터)를 통해 “신생 펀드치고는 거래량이 매우 이례적”이라며 “가장 저평가돼 있던 AI 투자 접근 방식 중 하나”라고 평가했다.미 월스트리트저널(WSJ) 역시 “어떤 ETF에서도 보기 드문 성장 속도이며, 소규모 자산운용사 기준으로는 전례 없는 성과”라고 진단했다.다만 경고의 목소리도 있다. WSJ는 “특정 테마에 집중 투자하는 ETF는 해당 산업이 정점에 가까운 시점에 출시되는 경우가 많다”며 “향후 성과는 시장 사이클에 따라 변동성이 클 수 있다”고 지적했다."
100원 팔아 72원 남겼다‥하이닉스 '최대 실적',"          				0초			       				0초			      	70%  광고 후 계속됩니다.     다음 동영상 subject author      			취소		   		100원 팔아 72원 남겼다‥하이닉스 '최대 실적'	 	MBC뉴스 	재생  157                   재생 (space/k)   재생 	02:04          			0:00:00		            재생 (space/k)   재생 음소거 (m)          음소거       	00:00 / 	02:04 실시간     자막 켜기 (c)      설정      전체 화면 (f)                      해상도                 자동 (480p)                 자막                사용 안함                 재생 속도                1.0x (기본)         인기 구간 표시    해상도   			자동 (480p) 		    			480p 		    			360p 		    			270p 		    			144p 		     자막 	설정  			사용 안함		  한국어 (자동 생성)       자막 설정  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x          죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.   					도움말				     			음소거 상태입니다.		                     도움말                                    라이선스                                    디버그 정보 다운로드                 				고화질 재생이 가능한 영상입니다.				설정에서 해상도를 변경해보세요.			 더 알아보기 	00:00                        [뉴스외전]◀ 앵커 ▶삼성전자에 이어 SK하이닉스가 오늘 1분기 실적을 발표했는데, 역시나 역대 최대 매출과 영업이익을 기록했습니다.두 회사의 영업이익만 올 한 해 500조 원을 넘을 것이란 전망이 나오고 있습니다.오해정 기자입니다.◀ 리포트 ▶SK하이닉스가 1분기 매출액은 52조 원, 영업이익은 37조 원으로 잠정집계됐다고 공시했습니다.매출은 1년 전 같은 기간보다 198%, 영업이익은 405.5% 증가한 실적으로, 모두 분기 최대 기록입니다.특히, 영업이익률은 72%를 넘겼는데 지난해 4분기 세웠던 역대 최대 기록을, 단 한 분기 만에 다시 갈아치웠습니다.100원어치 물건을 팔면 70원 이상 이익을 남긴 셈으로, 경쟁사 대만 TSMC의 1분기 영업이익률 58%를 크게 앞질렀습니다.SK하이닉스는 계절적으로 반도체 비수기인 1분기에도 AI인프라 투자 확대로 수요 강세가 이어졌다고 분석했습니다.또, AI 산업이 학습 중심에서, 다양한 서비스를 제공하기 위해 실시간으로 추론을 강화하는 방향으로 진화하면서, 메모리 수요가 지속될 것으로 전망했습니다.SK하이닉스는 메모리 전 영역에서 신제품을 개발하고, 주력 제품인 HBM은 성능, 수율, 품질, 공급, 안정성을 모두 높여 종합적인 역량을 개선시키겠다고 밝혔습니다.구체적으로는 6세대 HBM인 HBM4의 개선판인 HBM4E를 내년에 양산하겠다고 예고했습니다.글로벌 자산운용사, 맥쿼리는 SK하이닉스의 올해 연간 영업이익이 272조 원에 달할 것으로 전망했습니다.앞서 삼성전자는 올해 1분기 매출액 133조 원, 영업이익 57조 2천억 원을 기록해, 우리 기업 역사상 처음으로 분기 영업이익 50조 원을 돌파했습니다.벌써부터 우리나라 반도체 쌍두마차의 올해 영업이익이 5백조 원을 넘길 거란 전망이 나옵니다.MBC뉴스 오해정입니다.MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보"
